,year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
36,1996,Sega,0.35333333333333333,7.8999999999999995,NiGHTS into dreams...,Virtua Fighter Kids,NiGHTS into dreams...,Virtua Fighter Kids
37,1996,Sony Computer Entertainment,0.8414285714285714,7.085714285714286,Twisted Metal 2,Philosoma,WipEout XL,Beyond The Beyond
38,1996,Virgin Interactive,0.07,4.4,Spot Goes to Hollywood,Spot Goes to Hollywood,Spot Goes to Hollywood,Spot Goes to Hollywood
39,1996,Working Designs,0.3,9.0,Dragon Force,Dragon Force,Dragon Force,Dragon Force
40,1997,ASCII Entertainment,0.53,6.1,Clock Tower,Clock Tower,Clock Tower,Clock Tower
41,1997,Acclaim Entertainment,0.47,8.0,Alien Trilogy,Alien Trilogy,Alien Trilogy,Alien Trilogy
42,1997,Activision,0.26,7.1,Nightmare Creatures,Nightmare Creatures,Nightmare Creatures,Nightmare Creatures
43,1997,Atlus,0.2,7.8,Ogre Battle Saga Episode Five: The March of the Black Queen,Ogre Battle Saga Episode Five: The March of the Black Queen,Snowboard Kids,Ogre Battle Saga Episode Five: The March of the Black Queen
44,1997,Capcom,0.12000000000000001,7.1,Resident Evil,Buster Bros. Collection,Resident Evil,Buster Bros. Collection
45,1997,ESP,0.6699999999999999,8.4,Grandia,Grandia,Grandia,Grandia
46,1997,Eidos Interactive,7.53,7.6,Tomb Raider II,Tomb Raider II,Tomb Raider II,Tomb Raider II
47,1997,Electronic Arts,1.4000000000000001,6.4,Theme Hospital,WarCraft II: The Dark Saga,WarCraft II: The Dark Saga,Theme Hospital
48,1997,GT Interactive,0.48333333333333334,5.233333333333333,Oddworld: Abe's Oddysee,Bugriders: The Race of Kings,Oddworld: Abe's Oddysee,Bugriders: The Race of Kings
49,1997,Hudson Soft,1.04,6.1,Bomberman 64,Bomberman 64,Bomberman 64,Bomberman 64
50,1997,Interplay,0.21,3.1,ClayFighter 63 1/3,ClayFighter 63 1/3,ClayFighter 63 1/3,ClayFighter 63 1/3
51,1997,Konami,0.58,7.666666666666667,Castlevania: Symphony of the Night,Bottom of the 9th '97,Castlevania: Symphony of the Night,Bottom of the 9th '97
52,1997,LucasArts,0.68,6.8,Star Wars: Masters of Teras Kasi,Star Wars: Masters of Teras Kasi,Star Wars: Masters of Teras Kasi,Star Wars: Masters of Teras Kasi
53,1997,Midway Games,0.32999999999999996,7.25,Doom 64,Mace: The Dark Age,Doom 64,Mace: The Dark Age
