year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
2002,Majesco,0.1075,6.3625,BloodRayne,David Beckham Soccer,Bomberman Generation,David Beckham Soccer
2002,Metro 3D,0,6.666666667,Aero The Acro-Bat,Aero The Acro-Bat,Aero The Acro-Bat,Dual Blades
2002,Microsoft Game Studios,0.56,6.8,Blinx: The Time Sweeper,Blinx: The Time Sweeper,Blinx: The Time Sweeper,Blinx: The Time Sweeper
2002,Midway Games,0.546666667,6.333333333,Mortal Kombat: Deadly Alliance,Gauntlet: Dark Legacy,Mortal Kombat: Deadly Alliance,Gauntlet: Dark Legacy
2002,Mindscape,0.02,7.9,Car Battler Joe,Car Battler Joe,Car Battler Joe,Car Battler Joe
2002,Namco,0.873333333,6.466666667,Tekken 4,Smashing Drive,Tekken Advance,Smashing Drive
2002,Natsume,0.09,6.8,MetropolisMania,MetropolisMania,MetropolisMania,MetropolisMania
2002,NewKidCo,0,7.9,Muppet Pinball Mayhem,Muppet Pinball Mayhem,Muppet Pinball Mayhem,Muppet Pinball Mayhem
2002,Nintendo,0.282,6.18,Game & Watch Gallery 4,Doshin the Giant,NBA Courtside 2002,Disney's Magical Mirror Starring Mickey Mouse
2002,Rockstar Games,8.975,8.5,Grand Theft Auto: Vice City,State of Emergency,Grand Theft Auto: Vice City,State of Emergency
2002,Sammy Corporation,0.06,7.3,Guilty Gear X: Advance Edition,Guilty Gear X: Advance Edition,Guilty Gear X: Advance Edition,Guilty Gear X: Advance Edition
2002,Sega,0.2125,7.7,Phantasy Star Online Episode I & II,Rez,NFL 2K3,Gunvalkyrie
2002,Sony Computer Entertainment,2.15,8.1,SOCOM: U.S. Navy SEALs,Wild ARMs 3,ATV Offroad Fury 2,Wild ARMs 3
2002,Strategy First,0,8.4,Trainz,Trainz,Trainz,Trainz
2002,TDK Core,0.19,6.1,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
2002,TDK Mediactive,0.15,5.5,Shrek Extra Large,Pryzm Chapter One: The Dark Unicorn,Robotech: Battlecry,Shrek Extra Large
2002,THQ,0.323846154,6.392307692,Red Faction II,GT Advance 3: Pro Concept Racing,Baseball Advance,"Monsters, Inc. Scream Arena"
2002,Take-Two Interactive,0.005,6.6,Duke Nukem Advance,Mall Tycoon,Duke Nukem Advance,Mall Tycoon
2002,Tecmo,0.2,7.6,Fatal Frame,Fatal Frame,Fatal Frame,Fatal Frame
2002,The Adventure Company,0.03,8,Syberia,Syberia,Syberia,Syberia
2002,Ubisoft,0.52,6.4,Tom Clancy's Splinter Cell,Davis Cup Tennis,Tom Clancy's Splinter Cell,Disney's PK: Out of the Shadows
2002,Universal Interactive,0.335,4.1,Barbie Groovy Games,The Scorpion King: Rise of the Akkadian,The Scorpion King: Rise of the Akkadian,Barbie Groovy Games
2002,VU Games,0.425,5.05,Spyro: Enter the Dragonfly,4X4 EVO 2,4X4 EVO 2,Spyro: Enter the Dragonfly
2002,Vivendi Games,1.73,8.3,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure
2003,3DO,0.01,3.8,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions
2003,Acclaim Entertainment,0.1275,6.85,Vexx,Speed Kings,All-Star Baseball 2004,Vexx
2003,Activision,0.978571429,7.257142857,Tony Hawk's Underground,Call of Duty,Tony Hawk's Underground,X2: Wolverine's Revenge
2003,Atari,0.544285714,5.885714286,Dragon Ball Z: The Legacy of Goku II,Ikaruga,Ikaruga,BeyBlade VForce: Super Tournament Battle
2003,Atlus,0.088333333,7.383333333,Disgaea: Hour of Darkness,DemiKids: Dark Version,Disgaea: Hour of Darkness,Go! Go! Hypergrind
2003,BAM! Entertainment,0.665,6.3,Starsky & Hutch,Wallace & Gromit in Project Zoo,Wallace & Gromit in Project Zoo,Starsky & Hutch
2003,Bandai,0.54,7.46,.hack//Infection Part 1,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Digimon Battle Spirit 2
2003,Bethesda Softworks,1.03,8.3,The Elder Scrolls III: Morrowind Game of the Year Edition,The Elder Scrolls III: Morrowind Game of the Year Edition,The Elder Scrolls III: Morrowind Game of the Year Edition,The Elder Scrolls III: Morrowind Game of the Year Edition
2003,Blizzard Entertainment,0.01,7.1,Blackthorne,Blackthorne,Blackthorne,Blackthorne
2003,Capcom,0.189090909,6.436363636,Viewtiful Joe,Auto Modellista,Viewtiful Joe,Disney's Hide & Sneak
2003,DSI Games,0.01,7.2,Freekstyle,Freekstyle,Freekstyle,Freekstyle
2003,"Destination Software, Inc",0.025,7.1,Gekido Advance: Kintaro's Revenge,F1 2002,Gekido Advance: Kintaro's Revenge,F1 2002
2003,EA Sports,2.332,7.74,Madden NFL 2004,Rugby 2004,Madden NFL 2004,Rugby 2004
2003,EA Sports BIG,0.39,9.033333333,NBA Street Vol. 2,Def Jam Vendetta,SSX 3,Def Jam Vendetta
2003,Eidos Interactive,0.41,7.6,Backyard Wrestling: Don't Try This at Home,Hitman 2: Silent Assassin,Deus Ex: Invisible War,Backyard Wrestling: Don't Try This at Home
2003,Electronic Arts,1.928181818,6.972727273,Need for Speed Underground,Command & Conquer: Generals,Freedom Fighters,Disney's Party
2003,Encore,0.005,4.9,Grooverider: Slot Car Thunder,Daredevil,Daredevil,Grooverider: Slot Car Thunder
2003,Gathering of Developers,0.015,8.55,Railroad Tycoon 3,Tropico 2: Pirate Cove,Railroad Tycoon 3,Tropico 2: Pirate Cove
2003,Gotham Games,0.08,6.3,Conflict: Desert Storm,Conflict: Desert Storm,Conflict: Desert Storm,Conflict: Desert Storm
2003,Jaleco,0.0625,6.575,Goblin Commander: Unleash the Horde,Jazz Jackrabbit,Karnaaj Rally,Super Bubble Pop
2003,Kemco,0.065,4.2,Batman: Dark Tomorrow,Rogue Ops,Rogue Ops,Batman: Dark Tomorrow
2003,Konami,0.34375,6.625,Castlevania: Lament of Innocence,Disney Sports Motocross,Castlevania: Aria of Sorrow,Yu-Gi-Oh! The Falsebound Kingdom
2003,LucasArts,1.02,8.666666667,Star Wars: Knights of the Old Republic,Gladius,Star Wars: Knights of the Old Republic,Gladius
2003,Majesco,0.193333333,6.133333333,Battlebots: Design & Destroy,BlowOut,Iridion II,Battlebots: Design & Destroy
2003,Microsoft Game Studios,0.5125,8.175,PGR: Project Gotham Racing 2,Halo: Combat Evolved,PGR: Project Gotham Racing 2,Kung Fu Chaos
2003,Midway Games,0.07,6.5,Midway Arcade Treasures,RoadKill,MLB SlugFest 20-04,Justice League: Chronicles
2003,NEC Interchannel,0.02,5.9,Tube Slider,Tube Slider,Tube Slider,Tube Slider
2003,Namco,0.5425,7.95,SoulCalibur II,SoulCalibur II(JP sales),SoulCalibur II(JP sales),R: Racing Evolution
2003,Natsume,0.223333333,6.6,Harvest Moon: Friends of Mineral Town,CIMA: The Enemy,Harvest Moon: Friends of Mineral Town,Medabots: Infinity
2003,Nintendo,0.575,7.783333333,Fire Emblem: The Blazing Blade,Hamtaro: Ham-Ham Heartbreak,Advance Wars 2: Black Hole Rising,Pokémon Channel
2003,Rockstar Games,2.563333333,8.066666667,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Manhunt,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Max Payne 2: The Fall of Max Payne
2003,Sega,0.452,7.84,The Incredible Hulk,Skies of Arcadia Legends,Virtua Fighter 4: Evolution,The Incredible Hulk
2003,Sierra Entertainment,0.195,6.55,The Hobbit,Homeworld 2,Homeworld 2,The Hobbit
2003,Sony Computer Entertainment,1.3225,7.675,The Getaway,Arc the Lad: Twilight of the Spirits,Dark Cloud 2,Primal
2003,TDK Mediactive,0.1,4.64,Corvette,Aquaman: Battle for Atlantis,Jim Henson's the Muppets: On With the Show!,Aquaman: Battle for Atlantis
2003,THQ,0.690909091,6.645454545,SpongeBob SquarePants: Battle for Bikini Bottom,Buffy the Vampire Slayer: Wrath of the Darkhul King,Sphinx and the Cursed Mummy,Buffy the Vampire Slayer: Wrath of the Darkhul King
2003,Tecmo,0.375,7.2,Dead or Alive Xtreme Beach Volleyball,Fatal Frame II: Crimson Butterfly,Fatal Frame II: Crimson Butterfly,Dead or Alive Xtreme Beach Volleyball
2003,Ubisoft,0.531,6.18,Prince of Persia: The Sands of Time,Charlie's Angels,Prince of Persia: The Sands of Time,Charlie's Angels
2003,Universal Interactive,0.19,7.3,Hulk,Hulk,Hulk,Hulk
2003,VU Games,5.69,7.7,The Simpsons: Hit & Run,The Simpsons: Hit & Run,The Simpsons: Hit & Run,The Simpsons: Hit & Run
2003,Vivendi Games,0.61,7.866666667,Crash Bandicoot 2: N-Tranced,Bruce Lee: Return of the Legend,Bruce Lee: Return of the Legend,Crash Bandicoot 2: N-Tranced
2004,Acclaim Entertainment,0.07,7.5,Worms 3D,Worms 3D,Worms 3D,Worms 3D
2004,Activision,2.571666667,7.35,Spider-Man 2,Rome: Total War,Rome: Total War,Shrek 2
2004,Atari,0.319090909,6.418181818,Transformers,Mission: Impossible - Operation Surma,Unreal Tournament 2004,Beyblade G-Revolution
2004,Atlus,0.08,7.8,Shining Force: Resurrection of the Dark Dragon,Shining Force: Resurrection of the Dark Dragon,Shining Force: Resurrection of the Dark Dragon,Shining Force: Resurrection of the Dark Dragon
2004,Bandai,0.168,6.46,Ghost in the Shell: Stand Alone Complex,Gundam Seed: Battle Assault,Galactic Wrestling: Featuring Ultimate Muscle,Ghost in the Shell: Stand Alone Complex
2004,Capcom,0.15,6.625,Mega Man Anniversary Collection,Crimson Tears,Mega Man Anniversary Collection,Crimson Tears
2004,Codemasters,0.26,7,Second Sight,Second Sight,Second Sight,Second Sight
2004,Crave Entertainment,0.0375,4.875,Intellivision Lives!,Future Tactics: The Uprising,Future Tactics: The Uprising,Trigger Man
2004,"Destination Software, Inc",0.02,7.5,Kill.switch,Kill.switch,Kill.switch,Kill.switch
2004,Disney Interactive Studios,0.415,6.65,Disney's Kim Possible 2: Drakken's Demise,Disney's Home on the Range,Disney's Kim Possible 2: Drakken's Demise,Disney's Home on the Range
2004,EA Sports,2.43,8.675,Madden NFL 2005,MVP Baseball 2004,Madden NFL 2005,FIFA Soccer 2005
2004,EA Sports BIG,0.275,8.25,NFL Street,NFL Street 2,NFL Street,NFL Street 2
2004,Eidos Interactive,0.19,8.1,R-Type Final,R-Type Final,R-Type Final,R-Type Final
2004,Electronic Arts,2.038888889,6.877777778,Need for Speed Underground 2,The Lord of the Rings: The Third Age,Burnout 3: Takedown,Catwoman
2004,Empire Interactive,0.06,5.5,Bubble Bobble: Old & New,Bubble Bobble: Old & New,Bubble Bobble: Old & New,Bubble Bobble: Old & New
2004,Global Star Software,0.02,7.1,Scaler,School Tycoon,Scaler,School Tycoon
2004,Gotham Games,0.04,6.9,Conflict: Desert Storm II - Back to Bagdhad,Conflict: Desert Storm II - Back to Bagdhad,Conflict: Desert Storm II - Back to Bagdhad,Conflict: Desert Storm II - Back to Bagdhad
2004,Hip Interactive,0.0575,4.95,Fear Factor: Unleashed,CT Special Forces 2: Back in the Trenches,CT Special Forces 2: Back in the Trenches,Fear Factor: Unleashed
2004,Interplay,0.68,7.8,Baldur's Gate: Dark Alliance II,Baldur's Gate: Dark Alliance II,Baldur's Gate: Dark Alliance II,Baldur's Gate: Dark Alliance II
2004,Knowledge Adventure,0.02,6,Barbie as the Princess and the Pauper,Barbie as the Princess and the Pauper,Barbie as the Princess and the Pauper,Barbie as the Princess and the Pauper
2004,Konami,0.146,6.44,King Arthur,Boktai 2: Solar Boy Django,Boktai 2: Solar Boy Django,Teenage Mutant Ninja Turtles 2: Battle Nexus
2004,LucasArts,3.61,8.1,Star Wars Battlefront,Star Wars Battlefront,Star Wars Battlefront,Star Wars Battlefront
2004,Mad Catz,0.2,2.5,MC Groovz Dance Craze,MC Groovz Dance Craze,MC Groovz Dance Craze,MC Groovz Dance Craze
2004,Majesco,0.053333333,5.733333333,Bomberman Jetters,Bookworm,Bomberman Jetters,Cartoon Network Block Party
2004,Mastiff,0.01,2.9,Space Raiders,Space Raiders,Space Raiders,Space Raiders
2004,Microsoft Game Studios,0.105,7,Blinx 2: Masters of Time & Space,Zoo Tycoon 2,Zoo Tycoon 2,Blinx 2: Masters of Time & Space
2004,Midway Games,1.05,7.5,Mortal Kombat: Deception,Midway Arcade Treasures 2,Shadow Hearts: Covenant,Midway Arcade Treasures 2
2004,Namco,0.236666667,6.85,Katamari Damacy,Dead to Rights,Katamari Damacy,Dead to Rights
2004,Natsume,0.79,8.2,Harvest Moon: A Wonderful Life,Harvest Moon: A Wonderful Life,Harvest Moon: A Wonderful Life,Harvest Moon: A Wonderful Life
2004,Nintendo,0.357647059,6.923529412,Donkey Kong Country 2,Classic NES Series: Metroid,Metroid: Zero Mission,Classic NES Series: Metroid
2004,O3 Entertainment,0.09,8.3,Alien Hominid,Alien Hominid,Alien Hominid,Alien Hominid
2004,Sega,0.106,7.78,Feel the Magic XY/XX,Puyo Pop Fever,Astro Boy: Omega Factor,Amazing Island
2004,Sony Computer Entertainment,1.53,7.75,SingStar,ATV Offroad Fury 3,SingStar,ATV Offroad Fury 3
2004,Sony Online Entertainment,1.28,8.5,Champions of Norrath,Champions of Norrath,Champions of Norrath,Champions of Norrath
2004,Square Enix,0.38,7,Final Fantasy XI: Online,Final Fantasy XI: Chains of Promathia,Final Fantasy XI: Chains of Promathia,Final Fantasy XI: Online
2004,THQ,1.105,5.79,The Incredibles,The Polar Express,WWE Day of Reckoning,The Polar Express
2004,Tecmo,0.275,8.4,Dead or Alive Ultimate,Fatal Frame II: Crimson Butterfly Director's Cut,Fatal Frame II: Crimson Butterfly Director's Cut,Dead or Alive Ultimate
2004,The Adventure Company,0.02,7.5,Syberia II,Syberia II,Syberia II,Syberia II
2004,Ubisoft,0.49,6.68,Tom Clancy's Splinter Cell: Pandora Tomorrow,Advance Guardian Heroes,Prince of Persia: Warrior Within,Asphalt: Urban GT
2004,VU Games,0.29,6.4,Spyro: A Hero's Tail,Spyro: A Hero's Tail,Spyro: A Hero's Tail,Spyro: A Hero's Tail
2004,Vivendi Games,0.64,6.7,Crash Bandicoot Purple: Ripto's Rampage,Crash Bandicoot Purple: Ripto's Rampage,Crash Bandicoot Purple: Ripto's Rampage,Crash Bandicoot Purple: Ripto's Rampage
2005,2K Sports,0.24,7.25,College Hoops 2K6,NHL 2K6,NBA 2K6,College Hoops 2K6
2005,Activision,1.035714286,6.857142857,Madagascar,Cabela's Dangerous Hunts 2,Tony Hawk's Underground 2 Remix,World Series of Poker
2005,Agetec,0.066666667,6.966666667,Wild ARMs: Alter Code F,Armored Core: Formula Front Extreme Battle,Wild ARMs: Alter Code F,Armored Core: Formula Front Extreme Battle
2005,Atari,0.264,6.74,The Matrix: Path of Neo,Act of War: Direct Action,Act of War: Direct Action,Backyard NFL Football 2006
2005,Atlus,0.161666667,7.633333333,Trauma Center: Under the Knife,Shin Megami Tensei: Digital Devil Saga 2,Riviera: The Promised Land,Magna Carta: Tears of Blood
2005,BAM! Entertainment,0,6.8,A Sound of Thunder,A Sound of Thunder,A Sound of Thunder,A Sound of Thunder
2005,Bandai,0.0675,5.875,Digimon World 4,Zatch Bell! Electric Arena,Zatch Bell! Mamodo Battles,Zatch Bell! Electric Arena
2005,Buena Vista,0.7275,6.025,Disney's Chicken Little,Disney's Cinderella: Magical Dreams,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Herbie: Fully Loaded
2005,Capcom,0.26125,6.8,Phoenix Wright: Ace Attorney,Disney's Magical Quest 3 Starring Mickey and Donald,Phoenix Wright: Ace Attorney,Resident Evil Outbreak File #2
2005,Crave Entertainment,0.163333333,5.9,Pinball Hall of Fame: The Gottlieb Collection,The Bible Game,Pinball Hall of Fame: The Gottlieb Collection,The Bible Game
2005,DSI Games,0.035,4.5,Big Mutha Truckers,Gauntlet / Rampart,Big Mutha Truckers,Gauntlet / Rampart
2005,"Destination Software, Inc",0.07,5.6,Centipede / Breakout / Warlords,Centipede / Breakout / Warlords,Centipede / Breakout / Warlords,Centipede / Breakout / Warlords
2005,Disney Interactive Studios,0.46,9,Disney's Kim Possible 3: Team Possible,Disney's Kim Possible 3: Team Possible,Disney's Kim Possible 3: Team Possible,Disney's Kim Possible 3: Team Possible
2005,DreamCatcher Interactive,0.07,6.8,Obscure,Obscure,Obscure,Obscure
2005,EA Sports,1.864285714,7.357142857,Madden NFL 06,FIFA 06: Road to FIFA World Cup,MVP Baseball 2005,FIFA 06: Road to FIFA World Cup
2005,EA Sports BIG,0.23,8.2,SSX on Tour,SSX on Tour,SSX on Tour,SSX on Tour
2005,Eidos Interactive,7.26,7.4,LEGO Star Wars: The Video Game,LEGO Star Wars: The Video Game,LEGO Star Wars: The Video Game,LEGO Star Wars: The Video Game
2005,Electronic Arts,1.0465,7,Need for Speed: Most Wanted,The Sims 2 Holiday Edition,Half-Life 2,The Sims 2 Holiday Edition
2005,Global Star Software,0.09,5.35,Charlie and the Chocolate Factory,Mall Tycoon 3,Mall Tycoon 3,Charlie and the Chocolate Factory
2005,Hot-B,0.03,7.2,Graffiti Kingdom,Graffiti Kingdom,Graffiti Kingdom,Graffiti Kingdom
2005,Ignition Entertainment,0.253333333,5.433333333,Archer Maclean's Mercury,Elf Bowling 1 & 2,Archer Maclean's Mercury,Elf Bowling 1 & 2
2005,Kemco,0.02,4.9,Top Gear RPM Tuning,Top Gear RPM Tuning,Top Gear RPM Tuning,Top Gear RPM Tuning
2005,Konami,0.650833333,6.658333333,World Soccer Winning Eleven 8 International,Rave Master,World Soccer Winning Eleven 8 International,TMNT: Mutant Melee
2005,Lionhead Studios,0.04,8.2,The Movies,The Movies,The Movies,The Movies
2005,LucasArts,4.81,6.9,Star Wars Battlefront II,Star Wars Battlefront II,Star Wars Battlefront II,Star Wars Battlefront II
2005,Majesco,0.156666667,8.033333333,Psychonauts,Phantom Dust,Psychonauts,Infected
2005,Microsoft Game Studios,0.545714286,8.314285714,Forza Motorsport,Zoo Tycoon 2: Endangered Species,Forza Motorsport,Zoo Tycoon 2: Endangered Species
2005,Midway Games,0.604285714,6.285714286,Blitz: The League,Midway Arcade Treasures 3,Mortal Kombat: Shaolin Monks,"Ed, Edd n Eddy: The Mis-Edventures"
2005,NIS America,0.135,7.55,Atelier Iris: Eternal Mana,Makai Kingdom: Chronicles of the Sacred Tome,Makai Kingdom: Chronicles of the Sacred Tome,Atelier Iris: Eternal Mana
2005,Namco,0.238,7.09,Namco Museum Battle Collection,Hugo: The Evil Mirror,We Love Katamari,Dead to Rights: Reckoning
2005,Natsume,0.22,7.85,Harvest Moon: Another Wonderful Life,Harvest Moon: More Friends of Mineral Town,Harvest Moon: More Friends of Mineral Town,Harvest Moon: Another Wonderful Life
2005,Nintendo,0.488947368,7.373684211,Donkey Kong Jungle Beat,Dance Dance Revolution: Mario Mix (JP sales),Advance Wars: Dual Strike,Dynasty Warriors Advance
2005,Rockstar Games,5.946666667,8.233333333,Grand Theft Auto: Liberty City Stories,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,Midnight Club 3: DUB Edition
2005,Sega,0.418,6.44,Shadow The Hedgehog,Virtua Quest,Gunstar Super Heroes,Shadow The Hedgehog
2005,Sony Computer Entertainment,0.652777778,7.127777778,Shadow of the Colossus,F1 Grand Prix,Shadow of the Colossus,Gretzky NHL 06
2005,Sony Online Entertainment,0.606666667,6.533333333,Untold Legends: Brotherhood of the Blade,Frantix,Champions: Return to Arms,Frantix
2005,Square Enix,0.61,8.6,Final Fantasy IV Advance,Final Fantasy IV Advance,Final Fantasy IV Advance,Final Fantasy IV Advance
2005,THQ,0.7275,6.5875,WWE SmackDown! vs. Raw 2006,Banjo-Pilot,WWE SmackDown! vs. Raw 2006,The Fairly Odd Parents: Clash with the Anti-World
2005,Tecmo,0.085,8.6,Ninja Gaiden Black,Fatal Frame III: The Tormented,Ninja Gaiden Black,Fatal Frame III: The Tormented
2005,Tecmo Koei,0.51,6.6,Dynasty Warriors,Dynasty Warriors,Dynasty Warriors,Dynasty Warriors
2005,The Adventure Company,0,6.4,Still Life,Still Life,Still Life,Still Life
2005,Ubisoft,0.321666667,6.241666667,Tom Clancy's Splinter Cell: Chaos Theory,"Crouching Tiger, Hidden Dragon",Prince of Persia: The Two Thrones,Dogz
2005,VU Games,0.1425,6.875,Crash Tag Team Racing,Empire Earth II,The Incredible Hulk: Ultimate Destruction,Robots
2006,2K Games,0.275,6.85,Prey,Family Guy,Prey,Family Guy
2006,2K Sports,0.812,7.02,NBA 2K7,NHL 2K7,NBA 2K7,Top Spin 2
2006,Activision,1.846666667,5.477777778,Call of Duty 3,Greg Hastings' Tournament Paintball Max'd,Activision Hits: Remixed,Greg Hastings' Tournament Paintball Max'd
2006,Aspyr,0,7.8,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,SpellForce 2: Shadow Wars,Dreamfall: The Longest Journey
2006,Atari,0.186,7.28,Test Drive Unlimited,Act of War: High Treason,Neverwinter Nights 2,Tycoon City: New York
2006,Atlus,0.088333333,6.8,Trauma Center: Second Opinion,Battle B-Daman,Trauma Center: Second Opinion,Rule of Rose
2006,Bethesda Softworks,0.2,5.3,Star Trek: Legacy,Star Trek: Legacy,Star Trek: Legacy,Star Trek: Legacy
2006,Buena Vista,0.8475,6.2,Hannah Montana,Disney's Chicken Little: Ace In Action,Lumines ll,Pirates of the Caribbean: Dead Man's Chest
2006,Capcom,0.24,7.53,Mega Man X Collection,Capcom Classics Mini Mix,Mega Man Powered Up,Capcom Classics Mini Mix
2006,Codemasters,0.01,6.2,LMA Manager 2007,LMA Manager 2007,LMA Manager 2007,LMA Manager 2007
2006,Crave Entertainment,0.136666667,5,Puzzle Challenge: Crosswords and More!,Dave Mirra BMX Challenge,Puzzle Challenge: Crosswords and More!,Dave Mirra BMX Challenge
2006,D3 Publisher,1.04,7.4,Naruto: Clash of Ninja 2,Naruto: Clash of Ninja 2,Naruto: Clash of Ninja 2,Naruto: Clash of Ninja 2
2006,DTMC,0,7.8,Championship Manager 2006,Championship Manager 2006,Championship Manager 2006,Championship Manager 2006
2006,EA Sports,2.312,6.71,FIFA 07 Soccer,FIFA World Cup: Germany 2006,NCAA Football 07,FIFA World Cup: Germany 2006
2006,EA Sports BIG,0.205,5.8,NFL Street 3,FIFA Street 2,NFL Street 3,FIFA Street 2
2006,Eidos Interactive,0.53,6.34,Tomb Raider: Legend,Reservoir Dogs,Hitman: Blood Money,Bionicle Heroes
2006,Electronic Arts,1.656,6.4,Need for Speed Carbon,The Lord of the Rings: The Battle for Middle-Earth II,Def Jam Fight For NY: The Takeover,Superman Returns
2006,KOEI,0.45,6.066666667,Samurai Warriors 2,Samurai Warriors: State of War,Samurai Warriors: State of War,Samurai Warriors 2
2006,King Games,0,6.7,Big Bumpin',Big Bumpin',Big Bumpin',Big Bumpin'
2006,Konami,0.55625,7.35,World Soccer Winning Eleven 9,Pocket Racers,Metal Gear Solid 3: Subsistence,Bomberman: Act Zero
2006,LucasArts,3.76,6.15,LEGO Star Wars II: The Original Trilogy,Thrillville,Thrillville,LEGO Star Wars II: The Original Trilogy
2006,Majesco,1.5075,5.925,Cooking Mama,Dino Master: Dig Discover Duel,Guilty Gear Judgment,Dino Master: Dig Discover Duel
2006,Mastiff,0.01,6.7,Dr. Sudoku,Dr. Sudoku,Dr. Sudoku,Dr. Sudoku
2006,Microsoft,0.07,7.4,Xbox Live Arcade Unplugged Volume 1,Xbox Live Arcade Unplugged Volume 1,Xbox Live Arcade Unplugged Volume 1,Xbox Live Arcade Unplugged Volume 1
2006,Microsoft Game Studios,0.11,6.2,N3: Ninety-Nine Nights,Zoo Tycoon 2: African Adventure,Rise of Nations: Rise of Legends,Zoo Tycoon 2: African Adventure
2006,Midway Games,0.398333333,6.683333333,Mortal Kombat: Armageddon,The Ant Bully,NBA Ballers: Rebound,The Ant Bully
2006,NCSoft,0.02,8.3,Guild Wars: Nightfall,Guild Wars: Factions,Guild Wars: Factions,Guild Wars: Nightfall
2006,NIS America,0.15,6.866666667,Disgaea 2: Cursed Memories,Atelier Iris 2: The Azoth Of Destiny,Disgaea 2: Cursed Memories,Generation of Chaos
2006,Namco,0.195,6.9,Me & My Katamari,Curious George,Me & My Katamari,Curious George
2006,Namco Bandai,0.08,4.6,Shonen Jump's One Piece: Pirates Carnival,Shonen Jump's One Piece: Pirates Carnival,Shonen Jump's One Piece: Pirates Carnival,Shonen Jump's One Piece: Pirates Carnival
2006,Natsume,0.275,6.1,Harvest Moon: Magical Melody,Ruff Trigger: The Vanocore Conspiracy,Harvest Moon: Magical Melody,Ruff Trigger: The Vanocore Conspiracy
2006,Nintendo,0.224545455,7.063636364,Excite Truck,bit Generations: Boundish,Final Fantasy V Advance,bit Generations: Boundish
2006,RedOctane,7.33,9.2,Guitar Hero II,Guitar Hero II,Guitar Hero II,Guitar Hero II
2006,Rockstar Games,3.545,7.6,Grand Theft Auto: Vice City Stories,Rockstar Games presents Table Tennis,Grand Theft Auto: Vice City Stories,Rockstar Games presents Table Tennis
2006,Sega,0.41375,7.5375,Sega Genesis Collection,Football Manager 2006,Worldwide Soccer Manager 2007,Full Auto 2: Battlelines
2006,Sierra Entertainment,0.5725,5.525,Ice Age 2: The Meltdown,Scarface: Money. Power. Respect.,The Legend of Spyro: A New Beginning,Eragon
2006,Sony Computer Entertainment,0.489285714,7.114285714,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,Ape Academy 2,Syphon Filter: Dark Mirror,Gangs of London
2006,Sony Online Entertainment,0.245,7.25,Untold Legends: The Warriors Code,Field Commander,Field Commander,Untold Legends: The Warriors Code
2006,Square Enix,0.97,5.8,Dirge of Cerberus: Final Fantasy VII,Dirge of Cerberus: Final Fantasy VII,Dirge of Cerberus: Final Fantasy VII,Dirge of Cerberus: Final Fantasy VII
2006,THQ,0.741333333,6.42,WWE SmackDown vs. RAW 2007,"Warhammer 40,000: Dawn of War - Dark Crusade",Company of Heroes,Alex Rider: Stormbreaker
2006,Tecmo,0.25,5.3,Dead or Alive Xtreme 2,Dead or Alive Xtreme 2,Dead or Alive Xtreme 2,Dead or Alive Xtreme 2
2006,Ubisoft,0.577368421,5.957894737,Tom Clancy's Rainbow Six: Vegas,Dark Messiah Might and Magic,Far Cry Instincts Predator,GT Pro Series
2006,Vivendi Games,0.215,7.05,F.E.A.R.,50 Cent: Bulletproof,F.E.A.R.,50 Cent: Bulletproof
2006,Warner Bros. Interactive,0.03,8,Justice League Heroes: The Flash,Justice League Heroes: The Flash,Justice League Heroes: The Flash,Justice League Heroes: The Flash
2006,Xseed Games,0.14,7.1,Shadow Hearts: From The New World,Shadow Hearts: From The New World,Shadow Hearts: From The New World,Wild ARMs 4
2007,2K Games,0.885,7.566666667,BioShock,Jade Empire: Special Edition,BioShock,Ghost Rider
2007,2K Sports,0.1875,7.475,MLB Power Pros,Major League Baseball 2K7,MLB Power Pros,Major League Baseball 2K7
2007,AQ Interactive,0.21,3.9,Vampire Rain,Vampire Rain,Vampire Rain,Vampire Rain
2007,Activision,3.5,5.725,Call of Duty 4: Modern Warfare,Barbie as The Island Princess,Call of Duty 4: Modern Warfare,Transformers: The Game
2007,Aksys Games,0.01,5.6,Hoshigami: Ruining Blue Earth Remix,Hoshigami: Ruining Blue Earth Remix,Hoshigami: Ruining Blue Earth Remix,Hoshigami: Ruining Blue Earth Remix
