year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
2011,Konami,0.59625,7.4125,Pro Evolution Soccer 2012,Castlevania: Lords of Shadow - Reverie,Metal Gear Solid HD Collection,Castlevania: Lords of Shadow - Reverie
2011,LucasArts,7.33,6.3,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III: The Clone Wars
2011,Majesco,0.086666667,5.9,Jaws: Ultimate Predator,Monster Tale,Monster Tale,Jaws: Ultimate Predator
2011,Meridian4,0.02,4,Trapped Dead,Trapped Dead,Trapped Dead,Trapped Dead
2011,Microsoft,2.04,8.6,Dance Central 2,Dance Central 2,Dance Central 2,Dance Central 2
2011,Microsoft Game Studios,0.06,7,Age of Empires Online,Age of Empires Online,Age of Empires Online,Age of Empires Online
2011,Microsoft Studios,2.43,7.96,Forza Motorsport 4,The Gunstringer,Forza Motorsport 4,Kinect Sports: Season Two
2011,NIS America,0.32,7.05,Disgaea 4: A Promise Unforgotten,Phantom Brave: The Hermuda Triangle,Cave Story 3D,Hyperdimension Neptunia
2011,Namco,0.36,4,Tekken Hybrid,Tekken Hybrid,Tekken Hybrid,Tekken Hybrid
2011,Namco Bandai,0.768888889,6.522222222,Dark Souls,Naruto Shippuden: Kizuna Drive,Dark Souls,Dragon Ball Z: Ultimate Tenkaichi
2011,Natsume,0.423333333,6.766666667,Harvest Moon: The Tale of Two Towns,Gabrielle's Ghostly Groove 3D,Gabrielle's Ghostly Groove 3D,Harvest Moon: The Tale of Two Towns
2011,Nintendo,0.552,6.68,PilotWings Resort,Mystery Case Files: The Malgrave Incident,Tetris Axis,Steel Diver
2011,Nordic Games,0.16,3.5,We Dance,We Dance,We Dance,We Dance
2011,Paradox Interactive,0.005,6.05,Pirates of Black Cove,Mount & Blade: With Fire & Sword,Mount & Blade: With Fire & Sword,Pirates of Black Cove
2011,Rockstar Games,6.39,7.9,L.A. Noire,L.A. Noire,L.A. Noire,L.A. Noire
2011,Sega,0.844545455,6.245454545,Sonic Generations,Conduit 2,Aliens: Infestation,Thor: God of Thunder
2011,Sony Computer Entertainment,1.028333333,7.3,LittleBigPlanet 2,PlayStation Move Ape Escape,LittleBigPlanet 2,PlayStation Move Ape Escape
2011,Sony Online Entertainment,0.74,6.5,DC Universe Online,DC Universe Online,DC Universe Online,DC Universe Online
2011,SouthPeak Interactive,0.6,5.3,Two Worlds II,Stronghold 3,Two Worlds II,Stronghold 3
2011,Square Enix,0.860909091,7.109090909,Deus Ex: Human Revolution,MindJack,Tactics Ogre: Let Us Cling Together,MindJack
2011,THQ,1.146666667,6.453333333,Saints Row: The Third,"Warhammer 40,000: Dawn of War II - Retribution",Saints Row: The Third,Kung Fu Panda 2
2011,Tecmo Koei,0.67,5.933333333,Dynasty Warriors 7,TRINITY: Souls of Zill O'll,Dynasty Warriors: Gundam 3,TRINITY: Souls of Zill O'll
2011,Tommo,0.04,7,Jerry Rice and Nitus' Dog Football,Jerry Rice and Nitus' Dog Football,Jerry Rice and Nitus' Dog Football,Jerry Rice and Nitus' Dog Football
2011,Tripwire Interactive,0.13,7.7,Red Orchestra 2: Heroes of Stalingrad,Red Orchestra 2: Heroes of Stalingrad,Red Orchestra 2: Heroes of Stalingrad,Red Orchestra 2: Heroes of Stalingrad
2011,Ubisoft,0.9512,6.412,Assassin's Creed: Revelations,From Dust,Anno 2070,Driver: Renegade
2011,Unknown,0.35,8.65,RIFT,LIMBO,LIMBO,RIFT
2011,Valve,3.79,9.6,Portal 2,Portal 2,Portal 2,Portal 2
2011,Visco,0.02,5.3,The Haunted: Hell's Reach,The Haunted: Hell's Reach,The Haunted: Hell's Reach,The Haunted: Hell's Reach
2011,Viva Media,0.045,7.15,Gray Matter,STORM: Frontline Nation,Gray Matter,STORM: Frontline Nation
2011,Wargaming.net,0.28,7.8,World of Tanks,World of Tanks,World of Tanks,World of Tanks
2011,Warner Bros. Interactive,2.40625,7.45,Batman: Arkham City,Green Lantern: Rise of the Manhunters,Batman: Arkham City,LEGO Battles: Ninjago
2011,Warner Bros. Interactive Entertainment,5.73,8.5,Mortal Kombat (2011),Mortal Kombat (2011),Mortal Kombat (2011),Mortal Kombat (2011)
2011,Xseed Games,0.13,7.366666667,Solatorobo: Red the Hunter,Ys I & II Chronicles,The Legend of Heroes: Trails in the Sky,Ys I & II Chronicles
2012,2K Games,1.94,8.8,XCOM: Enemy Unknown,XCOM: Enemy Unknown,XCOM: Enemy Unknown,XCOM: Enemy Unknown
2012,2K Sports,5.91,7.6,NBA 2K13,NBA 2K13,NBA 2K13,NBA 2K13
2012,505 Games,1.84,7,Sniper Elite V2,Sniper Elite V2,Sniper Elite V2,Sniper Elite V2
2012,Activision,7.94,5.35,Call of Duty: Black Ops II,007 Legends,Call of Duty: Black Ops II,Call of Duty Black Ops: Declassified
2012,Aksys Games,0.03,9,Zero Escape: Virtue's Last Reward,Zero Escape: Virtue's Last Reward,Zero Escape: Virtue's Last Reward,Zero Escape: Virtue's Last Reward
2012,Atlus,0.17,7.3,Code of Princess,Gungnir,Gungnir,Code of Princess
2012,Bethesda Softworks,0.58,6.8,Doom 3 BFG Edition,Doom 3 BFG Edition,Doom 3 BFG Edition,Doom 3 BFG Edition
2012,Capcom,2.31,7.2,Resident Evil: Revelations,Resident Evil: Revelations,Resident Evil: Revelations,Resident Evil: Revelations
2012,Codemasters,1.5,7.9,F1 2012,F1 2012,F1 2012,F1 2012
2012,Deep Silver,0.37,5.5,Risen 2: Dark Waters,Risen 2: Dark Waters,Risen 2: Dark Waters,Risen 2: Dark Waters
